marketer31,consignee11,description21,order_no211,scheduled_delivery_on21,TextBox12,TextBox18,version_no211,TextBox271,TextBox274
"","Woolworths Brisbane","15kg Exports","0111142923","07/03/2026 00:00:00","960","37.680000","1","960","37.680000"
"","","","0111143332","07/04/2026 00:00:00","1308","37.680000","1","1308","37.680000"
"","","","0111142924","07/04/2026 00:00:00","1308","37.680000","1","1308","37.680000"
"","","","0111143336","07/04/2026 00:00:00","1330","37.680000","1","1330","37.680000"
"","","","0111142926","07/06/2026 00:00:00","960","37.680000","1","960","37.680000"
"","","","0111142925","07/06/2026 00:00:00","1308","37.680000","1","1308","37.680000"
"","","","","","","","2","1308","37.680000"
"","","","0111143337","07/06/2026 00:00:00","1330","37.680000","1","1330","37.680000"
"","","","0111143333","07/07/2026 00:00:00","1308","37.680000","1","1308","37.680000"
"","","","","","","","3","1308","35.370000"
"","","","","","","","4","1308","37.680000"
"","","","0111172811","07/07/2026 00:00:00","600","37.680000","1","600","37.680000"
"","","","0111172812","07/08/2026 00:00:00","960","37.680000","1","960","37.680000"
"","","","0111172813","07/09/2026 00:00:00","960","37.680000","1","960","37.680000"
"","","","0111172814","07/10/2026 00:00:00","840","37.680000","1","840","37.680000"
"","","","0111172900","07/11/2026 00:00:00","1308","37.680000","1","1308","37.680000"
"","","","0111172903","07/11/2026 00:00:00","1330","37.680000","1","1330","37.680000"
"","","","0111172815","07/11/2026 00:00:00","960","37.680000","1","960","37.680000"
"","","","0111172901","07/12/2026 00:00:00","1308","37.680000","1","1308","37.680000"
"","","","0111172816","07/12/2026 00:00:00","960","37.680000","1","960","37.680000"
"","","","0111172904","07/13/2026 00:00:00","1330","37.680000","1","1330","37.680000"
"","","","0111172817","07/13/2026 00:00:00","1080","37.680000","1","1080","37.680000"
"","","","0111172902","07/13/2026 00:00:00","1308","37.680000","1","1308","37.680000"
"","","15kg Semi Ripe","0111172892","07/11/2026 00:00:00","600","40.350000","1","600","40.350000"
"","","","0111172893","07/12/2026 00:00:00","720","40.350000","1","720","40.350000"
